Line No.    	Lexeme              	Token Type  	Attribute
2           	program             	30          	0
2           	test                	1           	0x7fd9a7c02e30
2           	(                   	2           	81
2           	input               	1           	0x7fd9a7c02eb0
2           	,                   	4           	85
2           	output              	1           	0x7fd9a7c02f30
2           	)                   	2           	82
2           	;                   	4           	86
3           	var                 	31          	0
3           	a                   	1           	0x7fd9a7c030d0
3           	:                   	6           	0
3           	integer             	34          	0
3           	;                   	4           	86
4           	var                 	31          	0
4           	b                   	1           	0x7fd9a7c03220
4           	:                   	6           	0
4           	real                	35          	0
4           	;                   	4           	86
5           	var                 	31          	0
5           	c                   	1           	0x7fd9a7c03370
5           	:                   	6           	0
5           	array               	32          	0
5           	[                   	2           	83
5           	1                   	10          	0
5           	..                  	5           	0
5           	2                   	10          	0
5           	]                   	2           	84
5           	of                  	33          	0
5           	integer             	34          	0
5           	;                   	4           	86
6           	var                 	31          	0
6           	d                   	1           	0x7fd9a7c03610
6           	:                   	6           	0
6           	real                	35          	0
6           	;                   	4           	86
8           	procedure           	37          	0
8           	proc1               	1           	0x7fd9a7c03760
8           	(                   	2           	81
8           	x                   	1           	0x7fd9a7c037e0
8           	:                   	6           	0
8           	integer             	34          	0
8           	;                   	4           	86
8           	y                   	1           	0x7fd9a7c038c0
8           	:                   	6           	0
8           	real                	35          	0
8           	;                   	4           	86
9           	z                   	1           	0x7fd9a7c03a60
9           	:                   	6           	0
9           	array               	32          	0
9           	[                   	2           	83
9           	1                   	10          	0
9           	..                  	5           	0
9           	2                   	10          	0
9           	]                   	2           	84
9           	of                  	33          	0
9           	integer             	34          	0
9           	;                   	4           	86
9           	q                   	1           	0x7fd9a7c03c90
9           	:                   	6           	0
9           	real                	35          	0
9           	)                   	2           	82
9           	;                   	4           	86
10          	var                 	31          	0
10          	d                   	1           	0x7fd9a7c03610
10          	:                   	6           	0
10          	integer             	34          	0
10          	;                   	4           	86
11          	begin               	38          	70
12          	a                   	1           	0x7fd9a7c030d0
12          	:=                  	3           	0
12          	2                   	10          	0
12          	;                   	4           	86
13          	z                   	1           	0x7fd9a7c03a60
13          	[                   	2           	83
13          	a                   	1           	0x7fd9a7c030d0
13          	]                   	2           	84
13          	:=                  	3           	0
13          	4                   	10          	0
13          	;                   	4           	86
14          	c                   	1           	0x7fd9a7c03370
14          	[                   	2           	83
14          	3                   	10          	0
14          	]                   	2           	84
14          	:=                  	3           	0
14          	3                   	10          	0
15          	end                 	38          	71
15          	;                   	4           	86
17          	procedure           	37          	0
17          	proc2               	1           	0x7fd9a7c04340
17          	(                   	2           	81
17          	x                   	1           	0x7fd9a7c037e0
17          	:                   	6           	0
17          	integer             	34          	0
17          	;                   	4           	86
17          	y                   	1           	0x7fd9a7c038c0
17          	:                   	6           	0
17          	integer             	34          	0
17          	)                   	2           	82
17          	;                   	4           	86
18          	var                 	31          	0
18          	e                   	1           	0x7fd9a7c046a0
18          	:                   	6           	0
18          	real                	35          	0
18          	;                   	4           	86
19          	var                 	31          	0
19          	f                   	1           	0x7fd9a7c047f0
19          	:                   	6           	0
19          	integer             	34          	0
19          	;                   	4           	86
21          	procedure           	37          	0
21          	proc3               	1           	0x7fd9a7c04940
21          	(                   	2           	81
21          	n                   	1           	0x7fd9a7c049c0
21          	:                   	6           	0
21          	integer             	34          	0
21          	;                   	4           	86
21          	z                   	1           	0x7fd9a7c03a60
21          	:                   	6           	0
21          	real                	35          	0
21          	)                   	2           	82
21          	;                   	4           	86
22          	var                 	31          	0
22          	e                   	1           	0x7fd9a7c046a0
22          	:                   	6           	0
22          	integer             	34          	0
22          	;                   	4           	86
24          	procedure           	37          	0
24          	proc4               	1           	0x7fd9a7c04db0
24          	(                   	2           	81
24          	a                   	1           	0x7fd9a7c030d0
24          	:                   	6           	0
24          	integer             	34          	0
24          	;                   	4           	86
24          	z                   	1           	0x7fd9a7c03a60
24          	:                   	6           	0
24          	array               	32          	0
24          	[                   	2           	83
24          	1                   	10          	0
24          	..                  	5           	0
24          	3                   	10          	0
24          	]                   	2           	84
24          	of                  	33          	0
24          	real                	35          	0
24          	)                   	2           	82
24          	;                   	4           	86
25          	var                 	31          	0
25          	x                   	1           	0x7fd9a7c037e0
25          	:                   	6           	0
